High School,Apps,Acc,Enroll,T10P,T25P,	Tstu,PTStu,Tuit,BRC,BC,PS,TPHD,TMAST,STR,	ADon,Ispend,GR
High School 517,1183,1016,411,42,82,1922,704,12669,4875,600,1250,83,85,16.8,20,10368,66
High School 518,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89
High School 519,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
High School 520,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71
High School 521,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80,83,18.8,13,6719,72
High School 522,540,445,165,23,70,1115,111,7210,3600,500,2000,62,65,13.2,18,7356,58
High School 523,2961,1932,628,24,68,2669,616,10800,5100,575,1090,71,82,14.1,42,8189,100
High School 524,464,419,183,10,31,686,287,9240,3880,475,1090,29,49,7.2,17,9431,47
High School 525,1003,782,295,23,53,1144,160,16160,6950,500,1200,74,81,8.9,33,14086,79
High School 526,1016,872,300,27,57,1116,602,11250,4980,550,1400,66,73,15.8,36,7411,70
High School 527,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48
High School 528,4293,2728,591,25,62,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81
High School 529,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85,97,10.3,44,21199,90
High School 530,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62,65,15,29,5084,67
High School 531,2281,1870,1408,18,43,6553,1246,4680,3540,200,2150,75,76,17.1,8,5916,45
High School 532,818,700,447,20,50,2962,651,3738,2619,450,1022,55,59,19.6,9,4444,53
High School 533,385,340,193,18,38,784,127,9520,4124,630,1818,63,65,18.6,11,8219,43
High School 534,2540,2195,994,13,40,6063,2550,5472,3598,221,2216,76,81,16.5,8,7498,43
High School 535,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
High School 536,1093,1093,642,12,32,1770,967,7070,2500,400,1000,52,54,15.9,13,4718,71
High School 537,6118,5254,3204,15,37,13131,3374,4740,2590,500,1360,70,75,19.9,11,4632,56
High School 538,1047,938,511,13,33,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51
High School 539,321,318,172,11,27,620,280,7536,3736,430,1651,44,77,13,12,5309,36
High School 540,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52
High School 541,1244,912,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67
High School 542,283,201,97,10,45,589,263,8400,2800,600,900,50,56,10.6,40,6860,89
High School 543,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65
High School 544,372,362,181,15,32,1501,353,8600,3550,385,665,48,48,15.4,9,10938,49
High School 545,1489,1313,375,13,45,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,78
High School 546,323,278,122,31,51,393,4,16150,5450,275,800,63,72,7.2,26,15622,64
High School 547,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,7908,66
High School 548,2753,1820,505,31,56,1801,45,18720,5730,650,825,90,94,11.5,38,14980,85
High School 549,191,165,63,5,25,494,574,11550,4270,300,500,43,77,14.5,8,9209,40
High School 550,2643,1611,465,36,80,2615,248,13332,6354,630,1584,88,89,16.1,17,9619,78
High School 551,1340,695,285,42,73,1315,209,6800,4730,675,1250,84,89,11.6,23,10357,63
High School 552,1243,1020,414,33,60,2149,418,8678,3858,700,1736,82,83,16.2,7,7651,72
High School 553,1334,1243,568,30,56,1946,95,12140,4450,425,1100,74,78,15.1,36,8595,88
High School 554,651,581,243,8,17,617,34,5000,3650,600,600,45,45,14,8,8426,45
High School 555,861,609,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,67
High School 556,450,405,194,17,34,614,388,13900,5200,450,2150,46,63,10.9,17,9995,59
High School 557,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73
High School 558,1768,1249,380,51,93,1263,11,16900,5680,450,750,89,89,19,33,12837,79
High School 559,4019,1579,710,23,65,4365,765,3040,4351,711,1125,78,92,19.5,7,5599,64
High School 560,3646,2300,585,25,69,2022,926,12170,6172,480,800,79,79,13,30,7495,97
High School 561,13528,9198,1843,16,61,10168,1231,6550,4355,700,1560,93,96,17.4,16,9075,74
High School 562,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18,15,8055,80
High School 563,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90,97,13.6,15,11177,56
High School 564,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91,96,10.5,7,13705,57
High School 565,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19,14,6632,49
High School 566,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69,85,22,21,5280,63
High School 567,5318,3515,1025,8,29,7626,2091,6550,4040,550,1230,71,78,18.7,12,7511,42
High School 568,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82,85,17.8,17,5563,53
High School 569,4877,2798,814,13,48,4123,298,6550,4420,620,1481,82,90,16.3,10,6442,66
High School 570,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76
High School 571,8399,3609,656,19,53,4658,1478,6550,4240,550,1500,85,93,15.3,8,6608,53
High School 572,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
High School 573,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59
High School 574,2119,1264,390,5,33,2478,1441,6550,4760,1125,1362,80,100,14.9,8,8170,46
High School 575,2096,1512,465,27,59,1442,166,16130,4710,400,800,83,86,13.9,37,10554,90
High School 576,462,402,146,36,68,527,41,14500,6000,500,600,91,99,6.5,48,18953,61
High School 577,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73,84,11.3,13,14231,67
High School 578,257,183,109,19,41,396,38,7850,3410,400,1500,55,70,10,15,7233,53
High School 579,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46
High School 580,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60,61,14.2,32,8294,98
High School 581,232,182,99,7,29,402,237,7070,3640,400,3158,59,65,8.9,16,6286,36
High School 582,14474,10519,6392,49,85,31643,2798,5130,3412,600,2144,89,91,23.1,29,8471,69
High School 583,529,481,243,22,47,1206,134,4860,3122,600,650,103,88,17.4,16,6415,43
High School 584,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64
High School 585,497,423,215,27,57,895,429,7850,3410,490,1700,54,58,13.8,24,7002,50
High School 586,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65,75,18.2,21,3605,10
High School 587,592,501,279,19,44,1204,392,6400,3484,600,1800,80,83,14.5,10,7936,43
High School 588,1500,1242,611,12,36,2024,292,7070,2439,400,779,95,94,17.1,17,7744,84
High School 589,1154,951,253,15,31,791,140,11172,4958,700,1350,68,76,11.6,16,9186,60
High School 590,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19,40,5096,39
High School 591,759,729,244,57,81,867,51,10900,4450,500,1000,81,91,12.1,41,10219,70
High School 592,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,8504,81
High School 593,1262,1102,276,14,40,978,98,9456,4350,468,1323,53,53,12.8,24,7603,65
High School 594,3058,1798,478,46,84,1737,244,18810,5690,500,680,91,96,10.4,48,18034,91
High School 595,247,189,100,19,49,309,639,11412,6430,500,900,89,93,8.3,37,11806,96
High School 596,222,185,91,16,41,484,541,11010,5208,550,500,58,78,10.4,26,9586,78
High School 597,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93
High School 598,7033,5125,1223,47,75,4941,1534,19040,5950,350,800,98,98,9.1,21,16920,74
High School 599,626,372,145,12,34,983,40,7700,3400,450,800,70,70,21.9,28,4933,52
High School 600,2267,1827,611,20,59,2825,144,6735,3395,600,1425,70,74,12.2,7,10872,65
High School 601,484,384,177,9,45,634,78,7800,2950,500,600,60,88,14.1,9,6864,64
High School 602,3495,1712,528,49,84,1915,123,18732,6204,450,1024,94,96,11.5,49,15411,88
High School 603,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73,78,19.2,14,5901,56
High School 604,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96,96,6.7,16,16352,33
High School 605,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73,89,14.8,10,6820,39
High School 606,19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,13919,78
High School 607,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96,96,16.1,11,15934,66
High School 608,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80,98,22.2,9,6742,46
High School 609,682,535,204,22,43,771,611,9500,3540,400,750,26,58,2.5,10,7683,57
High School 610,6348,2999,922,68,94,3340,39,18930,6380,500,1254,99,99,5.3,36,36854,90
High School 611,6855,5553,2408,26,57,11036,2011,8907,4697,556,1851,89,95,10.8,6,13889,54
High School 612,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89,95,16,16,10178,71
High School 613,681,588,246,44,74,1058,73,10760,6230,500,1200,85,93,13.4,26,8731,63
High School 614,6361,5293,1507,26,51,5889,665,11380,4220,500,900,81,85,14.8,25,8894,93
High School 615,14446,10516,3252,22,57,14130,4522,10220,4230,530,1300,82,87,18.3,15,10650,75
High School 616,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67
High School 617,927,731,415,24,50,2149,2217,11130,3996,600,2166,72,79,13.5,14,10891,51
High School 618,576,558,137,11,39,662,131,10430,3620,400,1500,85,98,16.5,18,8767,45
High School 619,2096,1626,694,35,67,2551,407,11800,4340,700,960,60,81,15.8,26,7780,77
High School 620,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66
High School 621,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88,95,14.7,22,7881,63
High School 622,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61,76,10.7,9,10625,66
High School 623,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85,87,11.8,6,12833,54
High School 624,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81
High School 625,8384,5727,2710,22,50,13518,2916,7230,5088,630,3228,82,84,10,6,13883,34
High School 626,1487,1276,388,26,51,1417,1646,11120,4080,525,1405,55,56,11.1,23,6735,69
High School 627,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88,94,13.7,17,9657,57
High School 628,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47
High School 629,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31
High School 630,1208,803,438,20,48,1906,344,6810,3970,450,1647,67,75,15.9,26,5712,59
High School 631,441,369,172,17,45,633,317,6600,3680,600,400,46,46,15.1,4,5935,64
High School 632,461,381,235,10,40,974,503,6600,3630,400,1675,67,67,15.2,11,6408,35
High School 633,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,7618,55
High School 634,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89,92,18.1,12,9021,63
High School 635,14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68
High School 636,3347,2597,1006,10,37,4664,1630,6919,4500,500,1250,74,90,15,20,7462,56
High School 637,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82,94,5.9,17,17500,59
High School 638,19152,12940,4893,66,92,22045,1339,15732,4659,476,1600,90,98,11.5,26,14847,87
High School 639,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19,11,6393,53
High School 640,1458,874,588,56,86,1846,154,9843,3180,600,1500,74,78,14.6,16,6716,51
High School 641,11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88,90,12.2,37,16122,45
High School 642,3844,3383,1669,26,47,7524,804,4916,3810,600,550,81,86,20.3,14,6971,53
High School 643,6574,4637,2940,32,62,14782,1583,9057,3485,600,1983,87,87,12.7,15,10145,58
High School 644,1877,1826,823,49,77,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49
High School 645,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
High School 646,452,331,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52
High School 647,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51
High School 648,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53
High School 649,1209,750,265,19,54,820,159,11450,5045,900,2500,72,75,11.4,13,9718,64
High School 650,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89,87,17.5,16,7855,75
High School 651,1757,979,394,32,74,2033,1078,5972,3420,600,750,77,83,13,11,7011,37
High School 652,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88,93,8.9,23,15893,83
High School 653,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79,91,16.8,7,6227,62
High School 654,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75,94,15.5,17,7392,53
High School 655,6071,3856,1449,15,67,6635,1145,7558,3680,500,1500,82,85,19.1,15,6005,55
High School 656,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97,97,15.9,16,9424,49
High School 657,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47
High School 658,4418,2737,2049,23,51,14047,5134,4104,3579,450,1700,86,94,22.6,6,5657,35
High School 659,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40
High School 660,4144,3379,1853,18,52,10135,1448,6197,2930,595,2380,78,82,16.3,26,6333,77
High School 661,7700,3700,1906,79,96,7671,30,16850,4400,600,1350,96,92,13.1,46,13936,97
High School 662,4743,3970,2233,32,63,13436,2582,5173,3526,765,3176,86,90,11.5,11,10244,44
High School 663,8631,6732,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54
High School 664,12394,5232,2464,85,100,9205,531,17020,7270,500,1544,95,96,6.3,38,25765,93
High School 665,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66
